object_id,Overall Avg soundlevel(LAeq),naam locatie,beschrijving locatie,latitude,longitude,geo_point
306,51.33318136200717,Meetpunt Stadhuisplein - Oude Stadsgracht/Designhuis,"Oude Stadsgracht 144, 5611 DJ Eindhoven",51.435679,5.481842,"51.435679, 5.481842"
307,52.887754838709675,Meetpunt Stadhuisplein - Wal/Groot Paradijs,"Groot Paradijs 121, 5611 KA Eindhoven",51.43455,5.480269,"51.43455, 5.480269"
319,46.52142401433692,Kaeriuslaan spoor 30281,"Kaeriuslaan 39, 5641 SH Eindhoven, Netherlands",51.442901,5.51859,"51.442901, 5.51859"
323,56.78622401433691,Hofstraat Spoor 30279,"Hofstraat 115, 5641 TC Eindhoven",51.445647,5.511124,"51.445647, 5.511124"
327,44.138549462365596,Landsteinerlaan thv nr. 15,"Landsteinerlaan 13, 5644 DB Eindhoven, Netherlands",51.412611,5.492708,"51.412611, 5.492708"
330,47.433369175627234,MP01: Rouenlaan snelweg,"Dieppelaan 5, 5627 PZ Eindhoven",51.49302,5.446794,"51.49302, 5.446794"
332,50.54875555555555,Pieter Stockmanstraat thv. 75,"Pieter Stockmanslaan 73, 5652 RB Eindhoven",51.444104,5.431184,"51.444104, 5.431184"
389,46.71094982078853,Maasstraat,"Maasstraat 15, 5626 BB Eindhoven",51.48391,5.428741,"51.48391, 5.428741"
414,51.65115017921147,Blixembosch Count Basiegracht,"Count Basiegracht 45, 5629 RC Eindhoven",51.494668,5.469649,"51.494668, 5.469649"
464,56.568564874551974,Rondweg Sumatralaan,"Sumatralaan, 5612 AZ Eindhoven",51.45237,5.495624,"51.45237, 5.495624"
466,60.59154157706092,Rondweg Boutenslaan,"Boutenslaan 159A, 5644 TV Eindhoven, Netherlands",51.424255,5.47832,"51.424255, 5.47832"
468,60.95214444444445,Rondweg oude torenstraat,"Oude Torenstraat 17, 5623 PG Eindhoven",51.453267,5.481337,"51.453267, 5.481337"
476,62.329972401433686,Rondweg Limburglaan,"Limburglaan 30, 5652 AA Eindhoven",51.432938,5.453199,"51.432938, 5.453199"
480,58.77139139784946,Rondweg Von Weberstraat,"Von Weberstraat, 5653 AT Eindhoven, Netherlands",51.429968,5.456943,"51.429968, 5.456943"
487,63.933202867383514,Rondweg Piuslaan,"Piuslaan 55, 5643 PS Eindhoven, Netherlands",51.429653,5.502588,"51.429653, 5.502588"
489,67.89786451612902,Rondweg Jeroen Boschlaan,"Willem van de Veldestraat 1, 5642 AH Eindhoven",51.439666,5.50505,"51.439666, 5.50505"
490,54.750988530465946,Rondweg Beukenlaan,"Zwaanstraat 31b, 5651 CA Eindhoven, Netherlands",51.448387,5.451574,"51.448387, 5.451574"
668,61.079295,"Noord Brabantlaan 36, 5651 LZ Eindhoven, Netherlands","Noord Brabantlaan 36, 5651 LZ Eindhoven, Netherlands",51.444341,5.444838,"51.444341, 5.444838"
669,49.92914142857143,"Gloriantstraat 24, 5625 BD Eindhoven, Netherlands","Gloriantstraat 24, 5625 BD Eindhoven, Netherlands",51.468099,5.471694,"51.468099, 5.471694"
