OBJECTID;PROJECTNUMMER;NAAMPROJECT;PROJECTFASE;TOTAALAANTALWONINGEN;SHAPE.AREA;SHAPE.LEN;geo_shape;geo_point_2d;NAAMDEELGEBIED;BOUWPLAN;WONINGTYPE;PRIJSKLASSE;OPLEVERJAARDEELGEBIED;AANTALWONINGENDEELGEBIED;PROJECT_ID;NIEUW_VERBOUW
311464;1336;Van Hogendorplaan 1;In ontwikkeling;1;254.645;69.1584842637117;"{""coordinates"": [[[5.508486120461405, 51.455731340669224], [5.5085292068836695, 51.45570253207308], [5.508545066804313, 51.455715099684376], [5.50863266388436, 51.45565208774895], [5.508471283191736, 51.45556236921316], [5.50843824907144, 51.45558397639451], [5.508366217803146, 51.4555489955451], [5.508277181789616, 51.45561200877658], [5.508486120461405, 51.455731340669224]]], ""type"": ""Polygon""}";51.4556371866494, 5.508456219181492;van Hogendorplaan 1 en 1a;EHV-ZP2022-0004;Eengezins;Koop(duur);2024;2;;Nieuwbouw vervangend
311445;1328;Demer 47;In ontwikkeling;2;96.49000000000001;44.2585100763671;"{""coordinates"": [[[5.477398596672885, 51.439714796739466], [5.47747897027854, 51.43962934204443], [5.477490447876486, 51.43961495126634], [5.47749187012054, 51.43960686035779], [5.477481780968133, 51.439596081775896], [5.477480337373682, 51.43959338629371], [5.4774961332910035, 51.43958078990037], [5.4774083534090625, 51.43955748740859], [5.477345349040203, 51.439698658375875], [5.477398596672885, 51.439714796739466]]], ""type"": ""Polygon""}";51.43963370460922, 5.477419332336123;Demer 47a, 47b en 47c;V22/48275;Meergezins;Huur(duur);2023;3;;Verbouw overig
310417;576;Willem v Konijnenburglaan 9;Gereed;7;295.26;74.0593322416951;"{""coordinates"": [[[5.49425319740242, 51.43892749375445], [5.494378478154859, 51.43899299582973], [5.494615387306846, 51.438822891617825], [5.49448865364866, 51.43875109906352], [5.494251759166349, 51.43892749507664], [5.49425319740242, 51.43892749375445]]], ""type"": ""Polygon""}";51.438872842726624, 5.49443429341543;WillemvKonijnenburgstr 9 / Tongelresestraat 122 J-R;V17/29403;Meergezins;Huur(middenhuur);2018;7;;Verbouw overig
311543;1401;Franklin D Rooseveltlaan 38;In ontwikkeling;5;63.875;32.1887725851659;"{""coordinates"": [[[5.479557429036219, 51.472388685838574], [5.479691277878293, 51.4723858830284], [5.479686832264173, 51.47232296599661], [5.479557305126121, 51.47232756310528], [5.479554544982308, 51.472385991530025], [5.479557429036219, 51.472388685838574]]], ""type"": ""Polygon""}";51.472356548732584, 5.479622841199568;Franklin D Rooseveltlaan 38 (4 kamers);V22/48639;Meergezins;Huur(goedkoop);2024;4;;Verbouw overig
311544;1401;Franklin D Rooseveltlaan 38;In ontwikkeling;5;63.875;32.1887725851659;"{""coordinates"": [[[5.479557429036219, 51.472388685838574], [5.479691277878293, 51.4723858830284], [5.479686832264173, 51.47232296599661], [5.479557305126121, 51.47232756310528], [5.479554544982308, 51.472385991530025], [5.479557429036219, 51.472388685838574]]], ""type"": ""Polygon""}";51.472356548732584, 5.479622841199568;Franklin D Rooseveltlaan 38 (2 kamers);V22/48639;Meergezins;Huur(betaalbaar);2024;2;;Verbouw overig
310721;794;Stratumseind 14;In ontwikkeling;3;173.16500000000002;64.4616070608382;"{""coordinates"": [[[5.480609795580334, 51.436689373348194], [5.480650174699734, 51.4367432729876], [5.480749334487369, 51.43670723864503], [5.480655671384471, 51.43661832599808], [5.480652795058286, 51.436618328307205], [5.480652798741376, 51.436620126039166], [5.480583568170564, 51.436523103910055], [5.480484392108568, 51.436551048318165], [5.4805290983186365, 51.43661123660444], [5.480531969126903, 51.436608537700415], [5.480609795580334, 51.436689373348194]]], ""type"": ""Polygon""}";51.436632166171876, 5.480613912187344;Stratumseind 14;V19/39098;Meergezins;Koop(middelduur);2023;-1;;Onttrekking overig
310720;794;Stratumseind 14;In ontwikkeling;3;173.16500000000002;64.4616070608382;"{""coordinates"": [[[5.480609795580334, 51.436689373348194], [5.480650174699734, 51.4367432729876], [5.480749334487369, 51.43670723864503], [5.480655671384471, 51.43661832599808], [5.480652795058286, 51.436618328307205], [5.480652798741376, 51.436620126039166], [5.480583568170564, 51.436523103910055], [5.480484392108568, 51.436551048318165], [5.4805290983186365, 51.43661123660444], [5.480531969126903, 51.436608537700415], [5.480609795580334, 51.436689373348194]]], ""type"": ""Polygon""}";51.436632166171876, 5.480613912187344;Stratumseind 14;V19/39098;Meergezins;Huur(duur);2024;4;;Verbouw overig
310855;880;Marconilaan 28-30A-30B /Edisonstraat 150-156;In ontwikkeling;45;1069.915;142.036229915971;"{""coordinates"": [[[5.461955527988787, 51.451739992633016], [5.462204239970322, 51.451634665233165], [5.462241705149905, 51.45167149458915], [5.462421407538098, 51.45159407606377], [5.462514754204588, 51.451494241535194], [5.4621476902024355, 51.451365041820566], [5.462061528782371, 51.45146037710281], [5.461769655427772, 51.451563934136814], [5.461955527988787, 51.451739992633016]]], ""type"": ""Polygon""}";51.451553401673024, 5.462141894052557;Marconilaan 28-30A-30B /Edisonstraat 150-156;;Meergezins;Huur(middenhuur);2026;40;911-700;Nieuwbouw vervangend
310856;880;Marconilaan 28-30A-30B /Edisonstraat 150-156;In ontwikkeling;45;1069.915;142.036229915971;"{""coordinates"": [[[5.461955527988787, 51.451739992633016], [5.462204239970322, 51.451634665233165], [5.462241705149905, 51.45167149458915], [5.462421407538098, 51.45159407606377], [5.462514754204588, 51.451494241535194], [5.4621476902024355, 51.451365041820566], [5.462061528782371, 51.45146037710281], [5.461769655427772, 51.451563934136814], [5.461955527988787, 51.451739992633016]]], ""type"": ""Polygon""}";51.451553401673024, 5.462141894052557;Marconilaan 28-30A-30B /Edisonstraat 150-156;;Meergezins;Huur(middenhuur);2024;-4;911-700;Onttrekking sloop
310857;880;Marconilaan 28-30A-30B /Edisonstraat 150-156;In ontwikkeling;45;1069.915;142.036229915971;"{""coordinates"": [[[5.461955527988787, 51.451739992633016], [5.462204239970322, 51.451634665233165], [5.462241705149905, 51.45167149458915], [5.462421407538098, 51.45159407606377], [5.462514754204588, 51.451494241535194], [5.4621476902024355, 51.451365041820566], [5.462061528782371, 51.45146037710281], [5.461769655427772, 51.451563934136814], [5.461955527988787, 51.451739992633016]]], ""type"": ""Polygon""}";51.451553401673024, 5.462141894052557;Marconilaan 28-30A-30B /Edisonstraat 150-156;;Meergezins;Huur(betaalbaar);2026;10;911-700;Nieuwbouw vervangend
