number of residents,ScoreDiversity,NumberHouseholds,AvgHouseValue,PctComplainsAQ,PctComplainsNoise,AvgElectricityUsage,PctUnhappy,PctHighEducation,PctLowEducation,PctFeelsUnsafe,ScoreSocialCohesion,ScoreGoodLife,PctUnemployed,PctEconomicallyIndependent,AvgIncome,NumberShops,Distance2Childcare,Distance2Trainstation,Distance2HighwayEntrypoint,Distance2FamilyDoctor,Distance2Cinema,Distance2Cafe,Distance2SwimmingPool,NbName,DistrictName
128,0,45,0,0,0,4570,0,0,0,0,0,0,0,0,0,0,1.6,6.5,1.9,1.9,7.2,0.9,4.8,Bokt,Stadsdeel Woensel-Noord
477,0,65,0,0,0,4670,0,0,83.3,0,0,0,37,0,9.6,0,1.6,2.6,3,1.3,3.6,1.7,1.9,Vredeoord,Stadsdeel Woensel-Zuid
760,0.9,705,111,0,0,850,0,64.5,2.6,0,0,0,3,79.4,24,1,0.2,1.6,3,1.7,2.2,1.5,5,TU-terrein,Stadsdeel Centrum
54,0,30,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1.6,3.7,1.6,2,3,0.9,4.4,Meerbos,Stadsdeel Strijp
5179,0.6,2395,255,22,33,2540,5,26,32.7,13,5.9,7.3,8,68.5,39.3,25,0.6,4.6,1.6,0.5,5.2,0.5,2.5,Tempel,Stadsdeel Woensel-Noord
4471,0.3,1910,318,28,67,3260,4,35.8,23.2,2,6.3,7.6,3,80.6,54.5,1,0.5,4.8,3.7,0.6,5.7,0.9,2.2,Achtse Barrier-Spaaihoef,Stadsdeel Woensel-Noord
3717,0.4,1640,290,23,58,3020,5,40.8,20.8,2,6.4,7.5,4,75.6,49.1,9,0.6,4.4,3.8,0.5,5.4,0.5,1.5,Achtse Barrier-Gunterslaer,Stadsdeel Woensel-Noord
3578,0.5,1690,283,28,39,2710,5,39.8,22.2,4,6.3,7.7,5,74.7,47.1,2,0.5,4.6,1.1,1.2,3.5,1.2,3.4,Genderbeemd,Stadsdeel Gestel
4738,0.5,2550,252,28,49,2460,7,30.2,28.2,7,6.1,7.6,6,71.4,38.7,5,0.5,2.6,4,0.8,3.5,0.4,1.2,Prinsejagt,Stadsdeel Woensel-Noord
15,0,10,0,0,0,4140,0,0,0,0,0,0,0,0,0,0,1.6,6.4,1.7,1.8,7,0.7,4.6,Esp,Stadsdeel Woensel-Noord
3822,0.5,2030,243,39,52,2490,7,36.7,27.7,8,6.2,7.7,8,72.8,37.7,22,0.5,2.5,1.7,0.9,1.7,0.4,4.3,Het Ven,Stadsdeel Strijp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Eindhoven Airport,Stadsdeel Strijp
31,0,25,0,0,0,4520,0,0,0,0,0,0,0,0,0,0,2.3,5.4,1.9,4,5.9,2.1,5,BeA2,Stadsdeel Strijp
51,0,45,0,0,0,2240,0,16.7,33.3,0,0,0,0,0,0,29,1,3.2,1.3,1.5,2.3,0.6,3.8,Hurk,Stadsdeel Strijp
540,0.3,210,646,23,53,4250,4,67.6,10.8,10,6.5,8.1,0,84.7,103.2,0,1.1,3.4,1.6,1.6,4,1.4,4.5,Koudenhoven,Stadsdeel Tongelre
1289,0.5,550,437,17,24,3300,3,62.2,14.3,4,6.9,8.3,3,82.7,69.3,0,0.7,3.3,3.4,1.3,3.4,0.6,3.5,Puttense Dreef,Stadsdeel Stratum
2832,0.7,1935,323,22,72,2420,6,61.8,7.6,13,5.5,7.6,3,82.6,45.8,66,0.5,2.2,3.7,0.5,1.2,0.2,3.2,Bergen,Stadsdeel Centrum
507,0.4,155,427,15,45,2240,2,59.4,15.6,4,6,7.8,0,90.7,73.7,0,1,5.7,1.5,2.7,5,1,4.6,Bosrijk,Stadsdeel Strijp
633,0.4,320,435,27,46,3180,5,56.6,11.3,6,6.7,8,2,79.8,55.2,5,0.6,2.4,2.5,0.7,1.4,0.3,3.9,Engelsbergen,Stadsdeel Strijp
2851,0.8,1800,199,25,70,1950,9,52.4,16,29,4.7,6.5,7,71.6,30.4,11,0.6,0.8,2.8,0.7,1.3,0.2,3.8,Limbeek-Noord,Stadsdeel Woensel-Zuid
3324,0.4,1675,325,27,46,2660,5,52.2,13.1,6,6.7,8,4,81.7,47.9,3,0.8,2.1,3.2,0.7,1.2,0.3,3.6,"Eliasterrein, Vonderkwartier",Stadsdeel Strijp
3273,0.6,1485,306,18,41,2480,5,42.5,24.6,7,6.3,7.7,7,73.5,41.2,1,0.5,4.1,1.8,0.9,3.2,0.4,1.9,Kruidenbuurt,Stadsdeel Stratum
1901,0.5,905,282,23,48,2300,10,42.4,28.1,16,5.8,7.3,7,76.5,42.8,2,0.4,3.6,2.6,0.3,2.7,0.3,2.5,Sintenbuurt,Stadsdeel Stratum
1685,0.6,1085,254,27,50,1970,12,32,26.2,12,5.4,7.2,13,61.9,33.7,0,1.2,1.9,3.8,0.6,2.1,0.6,3.7,Oude Toren,Stadsdeel Woensel-Zuid
904,0.5,370,490,24,39,3790,5,62.5,14.1,6,6.4,7.7,2,81.2,72.6,0,0.6,5.8,1,1.2,3.5,1,3.3,Ooievaarsnest,Stadsdeel Gestel
107,0,40,0,0,0,4680,0,25,25,0,0,0,0,77.1,0,1,0.5,4.8,3.6,0.5,5.6,0.5,3,Kapelbeemd,Stadsdeel Woensel-Noord
5399,0.6,2810,243,28,47,2340,8,26.1,26.6,12,5.5,7.3,8,70.8,38.2,3,0.6,2.5,3.3,0.7,3,0.6,2.9,Generalenbuurt,Stadsdeel Woensel-Zuid
4280,0.7,2115,221,21,40,2300,6,18.5,40.4,16,5.8,7.1,10,63.7,35.2,7,0.4,3.9,2,0.5,4.5,0.5,3.3,Eckart,Stadsdeel Woensel-Noord
2561,0.6,910,447,15,44,3550,5,60.3,14.5,9,5.6,8,2,87.3,68.9,0,0.6,6.2,2.7,1.9,3.9,1.9,3.2,Waterrijk,Stadsdeel Strijp
3332,0.7,1865,224,21,49,2460,9,41.4,27.5,21,5.3,6.9,9,66.2,34.7,15,0.5,4,2.4,0.4,3,0.3,1.6,Bennekel-Oost,Stadsdeel Gestel
3480,0.7,1795,221,23,42,2270,8,18.8,43.4,20,5.3,7,11,63.6,33.1,2,0.5,3.4,3.2,1,4.1,0.4,1.5,Jagershoef,Stadsdeel Woensel-Noord
3551,0.7,1810,234,23,51,2350,10,33.7,34.1,23,5.1,6.8,10,62.8,34.3,2,0.4,3.7,2.1,1.1,4.3,0.8,2.7,Vlokhoven,Stadsdeel Woensel-Noord
2671,0.6,1475,297,26,44,2390,9,62.1,10,7,6.4,8,4,81.7,45.1,16,0.6,2.3,3.7,1,1.4,0.5,2.8,Irisbuurt,Stadsdeel Stratum
2827,0.5,1590,237,38,46,2220,6,34.4,22.6,11,5.6,7.6,6,72.4,36.2,10,0.4,2.5,3,0.6,3.2,0.2,3.8,Oude Gracht-West,Stadsdeel Woensel-Zuid
2992,0.7,1585,238,23,48,2190,10,29.2,37.7,16,5.8,7.3,10,68.4,36.7,6,0.4,3.5,3.2,0.8,2.8,0.3,3,Burghplan,Stadsdeel Stratum
2895,0.4,1600,326,26,44,2300,9,65.5,11.7,7,6.4,8,3,84.4,45.1,3,0.6,2.8,3,0.9,2,0.4,2.2,Tuindorp,Stadsdeel Stratum
3547,0.6,2340,224,39,52,2140,7,63.3,10.8,8,6.2,7.7,4,79.3,37.2,18,0.7,1.5,1.9,0.7,0.6,0.3,4.6,Schoot,Stadsdeel Strijp
668,0.2,285,487,17,24,3300,3,64.3,14.3,4,6.9,8.3,2,82.4,56.8,0,1.1,4.6,2,1.3,3.7,0.6,2.1,Schuttersbosch,Stadsdeel Stratum
699,0.5,475,299,26,64,2160,6,68.9,4.9,9,6.1,7.7,3,87.1,42.7,16,1.1,3,2.7,0.9,2.1,0.4,1.8,Looiakkers,Stadsdeel Stratum
1281,0.5,660,252,25,50,2420,10,0,0,24,5.5,6.9,2,85.4,41.9,5,0.7,3.5,2.9,0.5,2.5,0.5,2,Rapelenburg,Stadsdeel Gestel
190,0.9,155,149,0,0,1460,0,0,0,0,0,0,0,90.2,0,8,0.2,0.9,3.4,1,0.9,0.3,4.2,Fellenoord,Stadsdeel Centrum
2300,0.7,1155,247,32,66,2150,9,28.8,31.6,47,5,6.5,14,72.7,35.1,48,0.5,1.2,3.8,1.1,1.4,0.3,4,Gildebuurt,Stadsdeel Woensel-Zuid
2270,0.8,1530,288,22,72,1890,6,67.7,6.5,13,5.5,7.6,2,81.2,45.1,13,0.9,1.4,3.4,1,0.5,0.1,3.6,Witte Dame,Stadsdeel Centrum
1374,0.7,800,220,25,70,2170,9,33.3,31.6,29,4.7,6.5,11,64.5,33.8,0,0.6,1.2,3.2,1.3,1,0.6,4.3,Limbeek-Zuid,Stadsdeel Woensel-Zuid
1807,0.6,1230,254,26,64,2340,6,59.5,6.3,9,6.1,7.7,6,78.1,39,14,0.3,2.2,3.3,0.5,1.3,0.3,2.4,Rochusbuurt,Stadsdeel Stratum
1258,0.6,750,245,37,51,2380,9,36.6,28.7,16,6,7.2,8,72.9,36,23,0.9,2.9,2.5,0.8,2,0.3,1.6,Bloemenplein,Stadsdeel Stratum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Beemden,Stadsdeel Gestel
7246,0.5,2705,421,18,45,3630,3,44.7,18,3,6.6,8.3,2,82.2,65.6,7,0.4,5.6,1.9,0.4,6.2,0.6,2.9,Blixembosch-Oost,Stadsdeel Woensel-Noord
3805,0.6,1980,245,22,45,2450,6,30.7,27,11,6.3,7.5,8,63.8,39.3,6,0.5,3.6,1,0.9,4,0.7,3.9,'t Hofke,Stadsdeel Tongelre
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flight Forum,Stadsdeel Strijp
3555,0.3,1500,454,31,74,3760,3,38.4,23.5,2,6.8,8.3,2,78.6,62.7,4,0.6,4.2,3.3,0.6,5.1,0.6,2.4,Kerkdorp Acht,Stadsdeel Woensel-Noord
5978,0.6,2255,384,15,45,3220,2,48.4,24.4,4,6,7.8,3,79.7,59.2,0,1,4.7,1.1,2.2,3.8,1.1,3.4,Grasrijk,Stadsdeel Strijp
25,0,0,0,0,0,5470,0,0,0,0,0,0,0,0,0,0,2,7.3,3.8,2.6,4.9,2.6,4.2,Park Forum,Stadsdeel Strijp
744,0.3,255,732,40,44,4400,3,0,0,7,7.6,8.4,0,84.8,89.4,0,0.7,4.7,1.8,1.6,3.9,0.7,1.6,Roosten,Stadsdeel Stratum
3152,0.6,1545,239,27,43,2490,6,25.3,34.3,5,5.7,7.3,8,71.9,37.7,3,0.5,2.6,1.7,0.9,1.8,0.3,4.3,Lievendaal,Stadsdeel Strijp
24,0,15,0,0,0,5630,0,0,0,0,0,0,0,0,0,1,2.9,5.1,2,4.1,5.8,2.8,4.7,Mispelhoef,Stadsdeel Strijp
110,0,45,0,0,0,6070,0,60,20,0,0,0,0,0,0,0,1,3.3,1.4,2.8,3.5,2.1,3.8,Wielewaal,Stadsdeel Strijp
173,0,70,0,0,0,4650,0,30.8,46.2,0,0,0,16,0,0,1,1,3.7,2.4,1.1,4.6,1.4,4.7,Urkhoven,Stadsdeel Tongelre
35,0,0,0,0,0,4950,0,0,0,0,0,0,0,0,0,0,1.4,4.4,2.8,1.2,3.4,1.3,1.7,Gennep,Stadsdeel Gestel
317,0,0,0,0,0,4730,0,0,52,0,0,0,,0,0,0,0.4,4.2,3.3,1.4,4.9,1.4,3.7,Eckartdal,Stadsdeel Woensel-Zuid
4228,0.8,2495,226,32,66,2270,9,38.3,22.8,47,5,6.5,8,66.9,29.9,42,0.4,1.2,3.3,0.6,1.5,0.3,3.9,Hemelrijken,Stadsdeel Woensel-Zuid
2269,0.7,1050,253,26,49,2430,9,31.9,34.4,23,5.5,7.2,14,59.2,38.6,0,0.6,3.9,2.5,0.6,4.5,0.8,2,'t Hool,Stadsdeel Woensel-Noord
1351,0.3,675,328,23,47,2610,4,54.3,13.6,5,6.7,8.4,2,79.8,53.6,0,0.4,3.6,1.8,0.5,2.8,0.8,0.7,Genneperzijde,Stadsdeel Stratum
2040,0.6,1010,297,17,40,2780,6,34.6,29.6,10,5.9,7.6,7,72.8,41.9,5,0.6,1.5,3.7,0.7,2.4,0.3,2.2,Barrier,Stadsdeel Woensel-Zuid
1611,0.7,690,257,27,50,1880,12,69.6,17.6,12,5.4,7.2,2,79.9,44.9,0,0.8,0.9,4,1.3,1.4,0.5,4.1,Woenselse Watermolen,Stadsdeel Woensel-Zuid
1540,0.3,670,525,40,44,3100,3,48.7,26.9,7,7.6,8.4,4,78.5,74.2,0,0.7,4.4,1.4,1.1,3.5,1,1,Eikenburg,Stadsdeel Stratum
3664,0.6,1680,263,24,39,2630,5,35.8,28.8,6,6.4,7.7,7,68.9,42,19,0.4,5.3,1.2,0.7,3.8,0.6,2.9,Hanevoet,Stadsdeel Gestel
2036,0.4,785,467,18,45,3700,3,50.6,14.8,3,6.6,8.3,2,78.1,68.2,1,0.4,5.1,2.7,0.9,5.8,1,1.7,Blixembosch-West,Stadsdeel Woensel-Noord
3585,0.6,1875,236,31,56,2480,6,36.1,28.8,24,5.6,6.9,8,67.8,37.2,11,0.4,3,2.3,0.7,2.8,0.4,4.2,Doornakkers-West,Stadsdeel Tongelre
5167,0.7,2470,240,25,54,2330,7,44,24,37,5.9,7.1,9,69.8,33.6,28,0.5,0.7,3,0.6,1.7,0.3,3.1,Woensel-West,Stadsdeel Woensel-Zuid
4707,0.6,2640,246,25,52,2200,6,37.7,29,33,5.3,6.9,9,71.4,33.7,8,0.4,1.3,3.4,0.4,2,0.4,3,Kronehoef,Stadsdeel Woensel-Zuid
4108,0.7,2930,278,27,76,2190,5,56.8,8.9,21,5.4,7.5,7,78.3,40.3,272,0.9,1.7,3.8,1.1,0.9,0.2,3.4,Binnenstad,Stadsdeel Centrum
934,0.6,510,326,15,44,,5,56,14.7,9,5.6,8,3,79.8,47.4,15,0,6,2.3,0.8,5.2,1,4.8,Meerrijk,Stadsdeel Strijp
3344,0.7,1740,238,21,49,2330,9,24,40.2,21,5.3,6.9,9,66.1,34.8,3,0.6,4.4,1.8,0.5,3.4,0.5,2.1,"Bennekel-West, Gagelbosch",Stadsdeel Gestel
3614,0.4,1940,388,25,49,2860,8,50.7,19.4,7,6.4,7.9,6,74.9,52.4,22,0.6,2.6,3.5,0.6,1.6,0.3,2.6,Schrijversbuurt,Stadsdeel Gestel
1774,0.3,745,461,17,24,3220,3,52.2,19.6,4,6.9,8.3,4,77.9,67,0,1.2,4.5,2.7,1.2,3.6,0.7,2.9,Gijzenrooi,Stadsdeel Stratum
23,0,0,0,0,0,4910,0,0,0,0,0,0,0,0,0,0,0.8,4.4,0.9,1,3.5,1.1,0.9,Sportpark Aalsterweg,Stadsdeel Stratum
2465,0.4,1215,485,23,53,3170,4,61.9,8.1,10,6.5,8.1,4,81.2,84.9,8,0.4,2.2,3.2,0.7,1.6,0.4,3.7,Villapark,Stadsdeel Tongelre
2372,0.8,1320,211,18,52,2160,8,33.2,26.5,20,5.1,6.9,8,68.6,36,20,0.4,2,3.7,0.5,2.6,0.5,2.5,Rapenland,Stadsdeel Woensel-Zuid
3224,0.7,1810,243,23,51,2230,7,31.3,35.5,12,5.7,7.5,7,71.8,37.3,52,0.6,2.6,3,0.6,2,0.2,3.8,Lakerlopen,Stadsdeel Tongelre
3374,0.5,1645,340,27,45,2700,6,45.3,20,7,7.1,8.1,5,79.7,49.6,6,0.3,3.7,2,0.6,2.9,0.3,1.2,Gerardusplein,Stadsdeel Stratum
2420,0.6,1245,258,28,47,2440,10,23.1,33.5,13,5.9,7.4,12,63.9,33.7,0,0.5,1.7,1.6,0.9,1.1,0.4,4.4,Drents Dorp,Stadsdeel Strijp
3224,0.5,1970,286,25,53,2190,7,56.3,14.4,9,6.1,7.7,6,79.5,42.1,9,0.5,1.6,2.6,0.7,1,0.3,4.3,Philipsdorp,Stadsdeel Strijp
1115,0.6,555,530,23,47,3040,4,55.4,15.7,5,6.7,8.4,4,76.2,70.7,6,0.7,2.4,3.2,0.3,1.5,0.5,2.3,Elzent-Noord,Stadsdeel Stratum
1932,0.6,1000,237,37,51,2240,9,37.2,26.9,16,6,7.2,10,65.8,33.9,12,0.3,3.9,1.8,1,3,0.2,1.4,Kerstroosplein,Stadsdeel Stratum
1522,0.6,810,227,23,48,2430,10,15,46.9,16,5.8,7.3,16,50.6,28.9,3,0.9,4.2,2.4,0.8,3.3,0.3,2.5,Tivoli,Stadsdeel Stratum
1136,0.5,700,243,26,44,2150,9,31.3,26,7,6.4,8,10,68.1,31.6,22,0.3,3.6,2.2,0.6,2.7,0.2,2,Nieuwe Erven,Stadsdeel Stratum
1275,0.5,800,274,26,64,2360,6,43.4,13.2,9,6.1,7.7,6,79.8,40.7,13,0.9,2.9,2.7,0.9,2,0.3,1.9,Joriskwartier,Stadsdeel Stratum
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2.1,3,3.3,2.7,4.3,Herdgang,Stadsdeel Strijp
0,0,0,0,0,0,4810,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Leenderheide,Stadsdeel Stratum
127,0,50,0,0,0,,0,40,20,0,0,0,0,0,0,0,1.3,2.7,4,1.7,3.9,1.2,3.5,Riel,Stadsdeel Stratum
5307,0.7,2545,239,22,46,2440,8,26,32.2,31,5.2,7,10,64.1,36.1,16,0.4,4.8,2,0.9,5.5,0.6,3.5,Vaartbroek,Stadsdeel Woensel-Noord
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poeijers,Stadsdeel Stratum
475,0.4,195,923,23,53,4920,4,73.3,6.7,10,6.5,8.1,0,78.7,150.2,1,1,2.8,1.5,1.3,3.4,1.2,4.4,Karpen,Stadsdeel Tongelre
2911,0.6,1155,372,15,45,3190,2,39.7,27.1,4,6,7.8,3,78.4,56.2,0,0.7,5.6,2.1,1.8,4.8,0.7,4.5,Zandrijk,Stadsdeel Strijp
2526,0.7,1400,232,25,50,2240,10,32.5,35,24,5.5,6.9,12,63.7,33.8,10,0.6,3.7,2.2,0.6,2.7,0.3,2.2,Blaarthem,Stadsdeel Gestel
3010,0.4,2015,275,30,65,1670,9,56.2,19.9,5,6.1,8,6,87.9,38.6,35,1.1,1,2.2,1.1,0.6,0.2,4.3,Strijp S,Stadsdeel Strijp
1201,0.6,770,219,25,49,1950,8,34.6,32.1,7,6.4,7.9,9,69.9,30.3,1,0.3,2.9,2.5,0.4,2,0.7,3.1,Hagenkamp,Stadsdeel Gestel
2204,0.6,1380,240,25,49,2080,8,57.6,17.3,7,6.4,7.9,5,77.1,37.8,11,0.4,2.6,3.2,0.6,1.6,0.4,2.9,Oude Spoorbaan,Stadsdeel Gestel
5264,0.6,2250,265,20,44,2630,10,28.9,29.7,11,6,7.6,7,67.8,41.9,7,0.5,4.2,2.8,1.2,5,0.6,1.1,Woenselse Heide,Stadsdeel Woensel-Noord
291,0.1,20,0,0,0,3750,0,0,0,0,0,0,18,0,0,0,0.3,6.1,2.8,1.9,7,1.8,2.6,Castiliëlaan,Stadsdeel Woensel-Noord
949,0.3,415,464,28,49,3790,7,46.4,17.4,7,6.1,7.6,3,84.4,74.1,0,1,3,3.7,0.6,3.9,1.3,1.2,Driehoeksbos,Stadsdeel Woensel-Noord
3941,0.6,2055,238,22,45,2410,6,27.5,33.1,11,6.3,7.5,7,68.6,37.2,4,0.6,3.8,1.7,0.9,3.9,0.9,4.6,"Muschberg, Geestenberg",Stadsdeel Tongelre
3907,0.5,1765,278,27,66,2930,6,31.5,23.9,7,6.5,7.7,5,73.1,46.3,8,0.6,5.3,4.3,1.1,6.3,0.6,2.2,Achtse Barrier-Hoeven,Stadsdeel Woensel-Noord
