,neighborhood_id,neighborhood,district_id,district,area,residents,avg_income,stores,avg_house_value
0,546,Bokt,5,Woensel-Noord,1394571.27318341,128.0,,0.0,
1,426,Vredeoord,4,Woensel-Zuid,1343777.25461765,477.0,9.6,0.0,
2,115,TU-terrein,1,Centrum,1240210.86617858,760.0,24.0,1.0,111.0
3,632,Meerbos,6,Strijp,1233202.78259277,54.0,,0.0,
4,532,Tempel,5,Woensel-Noord,1190266.64245479,5179.0,39.3,25.0,255.0
5,523,Achtse Barrier-Spaaihoef,5,Woensel-Noord,1015941.11043544,4471.0,54.5,1.0,318.0
6,522,Achtse Barrier-Gunterslaer,5,Woensel-Noord,1015385.01382992,3717.0,49.1,9.0,290.0
7,731,Genderbeemd,7,Gestel,998799.563399155,3578.0,47.1,2.0,283.0
8,512,Prinsejagt,5,Woensel-Noord,953977.17884571,4738.0,38.7,5.0,252.0
9,545,Esp,5,Woensel-Noord,932341.680788895,15.0,,0.0,
10,622,Het Ven,6,Strijp,880879.07671505,3822.0,37.7,22.0,243.0
11,638,Eindhoven Airport,6,Strijp,6386346.47765761,0.0,,7.0,
12,631,BeA2,6,Strijp,2620191.98240566,31.0,,0.0,
13,621,Hurk,6,Strijp,2077451.35483043,51.0,,29.0,
14,337,Koudenhoven,3,Tongelre,1755560.61029165,540.0,103.2,0.0,646.0
15,230,Puttense Dreef,2,Stratum,383598.89736231,1289.0,69.3,0.0,437.0
16,112,Bergen,1,Centrum,346126.64918289,2832.0,45.8,66.0,323.0
17,639,Bosrijk,6,Strijp,341228.308618045,507.0,73.7,0.0,427.0
18,613,Engelsbergen,6,Strijp,330171.629282255,633.0,55.2,5.0,435.0
19,411,Limbeek-Noord,4,Woensel-Zuid,305708.245480295,2851.0,30.4,11.0,199.0
20,611,"Eliasterrein, Vonderkwartier",6,Strijp,303909.68977752,3324.0,47.9,3.0,325.0
21,237,Kruidenbuurt,2,Stratum,286633.962851595,3273.0,41.2,1.0,306.0
22,233,Sintenbuurt,2,Stratum,263087.07040201,1901.0,42.8,2.0,282.0
23,432,Oude Toren,4,Woensel-Zuid,261725.49706855,1685.0,33.7,0.0,254.0
