"NbName";"AvgTotalElectricityUsage|2014";"AvgTotalElectricityUsage|2015";"AvgTotalElectricityUsage|2016";"AvgTotalElectricityUsage|2017";"AvgTotalElectricityUsage|2018";"AvgTotalElectricityUsage|2019";"AvgTotalElectricityUsage|2020";"AvgTotalElectricityUsage|2021";"gemiddeld aardgasverbruik totaal|2014";"gemiddeld aardgasverbruik totaal|2015";"gemiddeld aardgasverbruik totaal|2016";"gemiddeld aardgasverbruik totaal|2017";"gemiddeld aardgasverbruik totaal|2018";"gemiddeld aardgasverbruik totaal|2019";"gemiddeld aardgasverbruik totaal|2020";"gemiddeld aardgasverbruik totaal|2021"
"Achtse Barrier-Gunterslaer";3000;3370;3270;3200;3140;3040;3020;3060;1350;1480;1520;1480;1490;1380;1280;1490
"Achtse Barrier-Hoeven";3000;3240;3180;3120;3080;2940;2930;2920;1150;1250;1300;1270;1280;1190;1120;1290
"Achtse Barrier-Spaaihoef";3300;3650;3550;3470;3400;3260;3260;3260;1250;1360;1410;1380;1380;1280;1190;1370
"Barrier";2800;3030;2980;2940;2890;2820;2780;2760;1150;1220;1280;1250;1260;1170;1090;1240
"BeA2";".";".";".";".";".";".";4520;4980;".";".";".";".";".";".";2240;3050
"Beemden";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Bennekel-Oost";2400;2530;2530;2490;2470;2390;2460;2430;1050;1110;1140;1100;1120;1040;990;1110
"Bennekel-West, Gagelbosch";2500;2590;2540;2490;2380;2280;2330;2390;1050;1140;1190;1140;1110;1020;960;1140
"Bergen";2450;2490;2470;2360;2360;2370;2420;2470;1100;1140;1160;1130;1120;1050;960;1160
"Binnenstad";2300;2320;2340;2290;2250;2210;2190;2270;700;790;720;670;740;720;700;810
"Blaarthem";2300;2440;2350;2320;2300;2220;2240;2260;1100;1160;1220;1190;1180;1110;1030;1200
"Blixembosch-Oost";3950;4140;3980;3900;3800;3580;3630;3670;1250;1360;1400;1380;1360;1270;1190;1370
"Blixembosch-West";3800;4200;4080;3970;3930;3780;3700;3660;1550;1690;1770;1750;1730;1630;1510;1760
"Bloemenplein";2450;2640;2540;2500;2450;2350;2380;2390;1100;1210;1330;1300;1310;1230;1080;1230
"Bokt";3600;4990;4550;4180;4250;4660;4570;4660;2250;2510;2490;2430;2280;2260;2060;2460
"Bosrijk";3450;3750;3810;3810;3640;3370;3520;3540;1200;1360;1460;1370;1410;1310;1220;1380
"Burghplan";2200;2380;2280;2260;2240;2180;2190;2210;1150;1250;1310;1280;1260;1190;1110;1260
"Castiliëlaan";".";".";".";".";".";".";3750;3380;".";".";".";".";".";".";1840;1620
"Doornakkers-Oost";2300;2480;2390;2380;2400;2360;2320;2380;1100;1160;1240;1170;1180;1100;1010;1090
"Doornakkers-West";2300;2720;2640;3520;2540;2510;2480;2490;1200;1290;1320;1280;1270;1200;1140;1260
"Drents Dorp";2450;2540;2510;2470;2450;2400;2440;2420;1100;1130;1190;1150;1170;1100;1050;1180
"Driehoeksbos";3650;4200;4130;4010;3870;3780;3790;3680;1400;1540;1630;1560;1590;1480;1370;1580
"Eckart";2350;2470;2380;2360;2340;2290;2300;2320;1150;1190;1230;1210;1210;1150;1060;1200
"Eckartdal";".";".";".";".";".";".";4730;4600;".";".";".";".";".";".";1640;1880
"Eikenburg";3200;3650;3410;3280;3120;3050;3100;3220;1850;1980;1930;1870;1870;1750;1530;1800
"Eindhoven Airport";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Eliasterrein, Vonderkwartier";2500;2750;2780;2730;2690;2650;2660;2710;1100;1210;1240;1180;1210;1120;1050;1240
"Elzent-Noord";2650;3120;3370;3260;2980;2990;3040;3050;1700;1810;2070;1860;1950;1790;1490;1770
"Elzent-Zuid";4150;5230;5270;4460;4070;4020;3850;3880;3300;3500;3010;2220;2240;2130;1810;2170
"Engelsbergen";3400;3770;3620;3550;3510;3290;3180;3210;1650;1800;1790;1770;1770;1690;1520;1720
"Esp";".";".";".";".";".";".";4140;".";".";".";".";".";".";".";2170;"."
"Fellenoord";".";".";".";".";".";".";1460;1610;".";".";".";".";".";".";670;770
"Flight Forum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Genderbeemd";2800;3080;3040;3000;2920;2780;2710;2750;1200;1270;1430;1340;1410;1290;1200;1370
"Genderdal";2050;2170;2110;2110;2060;2020;2010;2020;1000;1090;1090;1050;1040;970;900;1050
"Generalenbuurt";2450;2560;2480;2450;2400;2340;2340;2350;1100;1170;1220;1190;1220;1110;1050;1190
"Gennep";".";".";".";".";5290;".";4950;4590;".";".";".";".";".";".";1870;1950
"Genneperzijde";2600;2960;2880;2840;2860;2750;2610;2840;1500;1680;1460;1360;1330;1260;1220;1510
"Gerardusplein";2550;3020;2980;2840;2760;2700;2700;2740;1400;1490;1550;1450;1420;1310;1210;1410
"Gijzenrooi";3550;3790;3600;3490;3410;3260;3220;3220;1450;1580;1640;1610;1600;1510;1420;1630
"Gildebuurt";2300;2420;2370;2370;2320;2220;2150;2230;1150;1220;1260;1240;1230;1140;1030;1180
"Grasrijk";3250;3540;3590;3390;3280;3190;3220;3320;50;40;50;70;80;70;70;90
"Hagenkamp";1700;2050;2020;1950;1910;1860;1950;1970;950;1000;980;940;920;850;890;1030
"Hanevoet";2800;3030;2940;2900;2830;2650;2630;2640;1200;1280;1320;1280;1280;1190;1120;1300
"Heesterakker";3350;3660;3550;3460;3390;3220;3180;3200;1450;1570;1640;1580;1560;1450;1330;1550
"Hemelrijken";2250;2370;2370;2300;2220;2190;2270;2340;1000;1070;1160;1010;1030;1000;880;980
"Herdgang";".";".";".";".";".";".";".";5380;1650;".";".";".";".";".";".";2120
"Het Ven";2400;2560;2530;2490;2460;2380;2490;2620;1300;1380;1460;1390;1410;1300;1180;1350
"Hondsheuvels";2050;2130;2060;2050;2050;1980;2110;2120;550;690;760;640;610;610;630;740
"Hurk";3350;3830;3510;3100;2870;2630;2240;2300;1450;1840;1770;1350;1590;1580;1600;1550
"Irisbuurt";2350;2640;2510;2500;2410;2320;2390;2480;1050;1140;1130;1090;1080;990;960;1070
