"Buurten";"Beoordeling eigen gezondheid: matig of slecht|2006";"Beoordeling eigen gezondheid: matig of slecht|2007";"Beoordeling eigen gezondheid: matig of slecht|2008";"Beoordeling eigen gezondheid: matig of slecht|2009";"Beoordeling eigen gezondheid: matig of slecht|2010";"Beoordeling eigen gezondheid: matig of slecht|2011";"Beoordeling eigen gezondheid: matig of slecht|2012";"Beoordeling eigen gezondheid: matig of slecht|2013";"Beoordeling eigen gezondheid: matig of slecht|2014";"Beoordeling eigen gezondheid: matig of slecht|2015";"Beoordeling eigen gezondheid: matig of slecht|2016";"Beoordeling eigen gezondheid: matig of slecht|2017";"Beoordeling eigen gezondheid: matig of slecht|2018";"Beoordeling eigen gezondheid: matig of slecht|2019";"Beoordeling eigen gezondheid: matig of slecht|2020";"Beoordeling eigen gezondheid: matig of slecht|2021";"Beoordeling eigen gezondheid: matig of slecht|2022"
"Achtse Barrier-Gunterslaer";"";"";8;9;15;14;12;8;6;9;15;12;14;10;9;10;11
"Achtse Barrier-Hoeven";"";"";12;14;12;16;15;11;21;22;18;12;9;11;12;15;12
"Achtse Barrier-Spaaihoef";"";"";9;8;9;15;19;13;11;14;14;19;14;13;8;11;11
"Barrier";"";"";20;18;19;14;14;18;15;20;16;16;16;18;14;12;13
"BeA2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Beemden";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Bennekel-Oost";"";"";18;17;14;23;19;17;13;10;14;20;23;20;16;16;17
"Bennekel-West, Gagelbosch";"";"";18;17;14;23;19;17;13;10;14;20;23;20;16;16;17
"Bergen";"";"";10;9;7;7;7;7;7;5;8;11;16;17;10;6;7
"Binnenstad";"";"";15;15;10;9;8;12;9;13;12;9;9;10;9;8;6
"Blaarthem";"";"";11;11;20;20;22;18;17;18;11;10;10;8;9;11;17
"Blixembosch-Oost";"";"";4;4;7;12;13;12;8;11;9;12;14;11;7;10;12
