"NbName";"Population|2008";"Population|2009";"Population|2010";"Population|2011";"Population|2012";"Population|2013";"Population|2014";"Population|2015";"Population|2016";"Population|2017";"Population|2018";"Population|2019";"Population|2020";"Population|2021"
"Achtse Barrier-Gunterslaer";3932;3901;3880;3879;3846;3803;3788;3767;3737;3754;3728;3737;3721;3711
"Achtse Barrier-Hoeven";4341;4304;4260;4194;4209;4163;4111;4070;4087;4048;4013;4005;3989;3936
"Achtse Barrier-Spaaihoef";4874;4818;4755;4731;4719;4685;4663;4653;4603;4549;4554;4517;4505;4474
"Barrier";1948;2154;2129;2168;2181;2179;2190;2250;2252;2195;2168;2143;2130;2077
"BeA2";52;40;50;260;42;37;35;32;29;31;27;30;25;26
"Beemden";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Bennekel-Oost";3295;3326;3334;3319;3303;3318;3283;3319;3345;3324;3343;3376;3402;3328
"Bennekel-West, Gagelbosch";2858;2903;2847;2894;3165;3184;3258;3263;3253;3254;3441;3399;3388;3326
"Bergen";2206;2244;2217;2336;2364;2402;2394;2479;2488;2474;2561;2620;2727;2775
"Binnenstad";2695;2717;2697;2748;2868;2904;2932;3005;3071;3160;3598;3807;3750;3986
"Blaarthem";2303;2325;2384;2397;2420;2430;2418;2465;2466;2495;2457;2447;2448;2438
"Blixembosch-Oost";7161;7137;7118;7050;7066;7045;7001;6989;7051;7193;7217;7296;7246;7222
"Blixembosch-West";2257;2251;2250;2216;2168;2103;2104;2080;2087;2094;2103;2099;2069;2050
"Bloemenplein";1135;1110;1177;1167;1163;1155;1167;1218;1203;1214;1249;1247;1206;1199
"Bokt";124;128;128;125;128;127;126;124;127;127;122;127;125;124
"Bosrijk";103;269;321;323;373;388;397;404;413;407;398;416;423;414
"Burghplan";2829;2829;2891;2892;2918;2938;2950;3004;3017;3023;3080;3055;3057;2995
"Castiliëlaan";180;184;197;197;110;151;158;208;418;386;114;67;69;68
"Doornakkers-Oost";2802;2771;2857;2921;2909;2872;2869;2855;2873;2882;2884;2873;2905;2888
"Doornakkers-West";3467;3492;3554;3574;3536;3511;3522;3530;3590;3579;3509;3493;3482;3537
"Drents Dorp";1983;1993;2025;2017;2018;1977;2218;2343;2387;2402;2411;2387;2391;2365
"Driehoeksbos";1045;1019;1020;1026;1020;1012;1028;996;992;988;978;976;968;962
"Eckart";4310;4304;4256;4303;4330;4344;4313;4314;4303;4265;4260;4301;4302;4274
"Eckartdal";289;278;271;263;269;294;302;304;286;287;287;293;296;290
"Eikenburg";1440;1429;1460;1468;1460;1438;1434;1416;1482;1463;1492;1511;1520;1495
"Eindhoven Airport";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Eliasterrein, Vonderkwartier";3052;3057;3078;3112;3104;3088;3135;3165;3189;3200;3185;3178;3166;3154
"Elzent-Noord";761;754;784;794;881;957;954;960;970;1011;1016;1081;1074;1039
"Elzent-Zuid";245;207;201;197;199;194;204;193;194;225;284;294;301;296
"Engelsbergen";790;784;725;672;679;670;661;650;649;651;656;640;635;632
"Esp";15;16;14;14;13;13;11;12;10;10;10;"x";14;12
"Fellenoord";"x";"x";"x";"x";"x";"x";"x";"x";"x";150;166;175;170;172
"Flight Forum";15;13;11;13;"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Genderbeemd";3615;3593;3639;3652;3618;3613;3597;3616;3652;3659;3635;3642;3628;3577
"Genderdal";2831;2813;2803;2856;2843;2810;2758;2720;2856;2888;2907;2938;2957;2924
"Generalenbuurt";5149;5134;5187;5293;5301;5311;5407;5454;5418;5388;5386;5421;5437;5350
"Gennep";28;25;24;23;30;42;39;32;31;37;37;39;38;35
"Genneperzijde";1338;1361;1246;1241;1219;1234;1225;1192;1196;1232;1299;1380;1361;1352
"Gerardusplein";2967;2855;2855;2881;2995;2980;3098;3158;3237;3325;3372;3391;3374;3322
"Gijzenrooi";2032;2032;2023;1989;1975;1960;1911;1887;1870;1870;1868;1833;1818;1802
"Gildebuurt";1524;1530;1538;1560;1599;1621;1593;1622;1604;1643;1719;1656;1681;1678
"Grasrijk";4070;4570;4727;4831;4857;5082;5248;5307;5377;5533;5799;5838;5845;5819
"Hagenkamp";1180;1164;1168;1147;1131;1098;1142;1140;1199;1184;1189;1189;1183;1172
"Hanevoet";3716;3712;3725;3732;3751;3797;3774;3742;3726;3709;3684;3684;3688;3646
"Heesterakker";2905;2901;2904;2884;2880;2833;2815;2776;2765;2722;2743;2683;2678;2642
"Hemelrijken";3462;3537;3559;3517;3419;3304;3309;3399;3565;3582;3687;3764;3870;3936
"Herdgang";27;33;30;30;15;14;14;16;14;13;13;14;14;14
"Het Ven";3870;3980;3966;4020;4033;3955;4009;4055;4140;4101;4078;4046;3932;3789
"Hondsheuvels";244;329;334;340;332;311;294;295;279;252;252;259;267;266
"Hurk";75;85;89;82;80;96;90;81;84;83;68;74;69;65
"Irisbuurt";1839;1857;1918;1929;1950;1988;2007;2027;2148;2164;2159;2254;2345;2415
"Jagershoef";3520;3560;3552;3519;3486;3505;3516;3561;3563;3562;3533;3579;3527;3476
"Joriskwartier";1052;1063;1076;1083;1110;1135;1136;1134;1136;1156;1148;1270;1298;1281
"Kapelbeemd";98;93;101;104;102;103;100;104;108;101;104;109;113;110
"Karpen";464;467;454;465;456;442;440;432;426;423;422;454;455;458
"Kerkdorp Acht";3697;3652;3648;3648;3584;3531;3503;3499;3499;3517;3480;3494;3547;3538
"Kerstroosplein";1925;1939;1960;1949;1970;1976;1934;1965;1943;1922;1884;1873;1829;1855
"Koudenhoven";532;511;513;510;502;484;488;497;489;493;500;501;516;510
"Kronehoef";3845;3785;3860;3917;3861;3875;3985;3975;3989;4040;4143;4107;4182;4278
"Kruidenbuurt";2627;2708;2701;2745;2767;2728;2636;2625;2630;2613;2571;2970;3067;3128
"Lakerlopen";2863;2849;3007;3184;3183;3203;3189;3275;3357;3341;3329;3292;3300;3219
"Leenderheide";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Lievendaal";2591;2592;2608;2971;3077;3094;3105;3124;3178;3189;3175;3151;3157;3138
"Limbeek-Noord";2100;2183;2226;2362;2303;2306;2361;2391;2448;2427;2402;2387;2463;2428
"Limbeek-Zuid";1323;1342;1323;1320;1308;1309;1325;1302;1443;1453;1414;1414;1405;1386
"Looiakkers";468;469;491;496;492;497;501;505;535;519;546;576;571;667
"Luytelaer";993;957;950;951;955;940;921;928;927;950;969;948;942;949
"Meerbos";48;50;47;45;48;50;47;47;48;47;46;47;47;50
"Meerrijk";"x";"x";"x";"x";"x";213;328;419;546;569;557;697;670;802
"Mensfort";2898;2884;2865;2828;3030;3073;3070;3081;3096;3081;3070;3068;3096;3076
"Mispelhoef";26;28;24;19;22;25;28;27;32;24;26;25;25;25
"Muschberg, Geestenberg";3836;3886;3907;3952;4009;4056;4053;4080;4059;4054;4018;3983;3995;3948
"Nieuwe Erven";1058;1077;1069;1070;1072;1082;1114;1086;1054;1033;1131;1118;1099;1073
"Ooievaarsnest";939;958;917;915;886;894;877;888;902;902;915;894;893;920
"Oude Gracht-Oost";1322;1332;1327;1325;1327;1301;1298;1312;1316;1318;1314;1321;1336;1334
"Oude Gracht-West";2621;2653;2749;2768;2796;2801;2769;2786;2740;2752;2847;2838;2860;2841
"Oude Spoorbaan";1639;1645;1640;1648;1729;1752;1919;1907;1943;2044;2054;2064;2088;2134
"Oude Toren";1401;1427;1478;1474;1499;1523;1501;1603;1626;1668;1673;1644;1628;1649
"Park Forum";"x";"x";15;15;15;15;15;17;16;15;19;20;19;23
"Philipsdorp";2198;2272;2233;2264;2186;2204;2954;3054;3004;3046;3061;3115;3099;3066
"Poeijers";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Prinsejagt";4470;4564;4515;4500;4574;4602;4614;4699;4680;4736;4656;4698;4742;4707
"Puttense Dreef";1054;1120;1167;1162;1190;1194;1158;1211;1239;1232;1247;1241;1246;1263
"Rapelenburg";720;738;731;725;679;707;726;727;728;725;854;867;1133;1114
"Rapenland";2085;2067;2108;2109;2203;2239;2332;2328;2344;2344;2342;2343;2371;2349
"Riel";130;131;124;128;119;114;115;122;115;124;125;123;137;131
"Rochusbuurt";1385;1376;1351;1466;1476;1635;1686;1701;1722;1744;1750;1777;1778;1747
"Roosten";652;658;645;651;628;634;649;650;655;652;693;721;726;729
"Schoot";2130;2161;2174;2194;2233;2555;2549;2798;2763;2764;2727;2965;3247;3493
"Schouwbroek";1432;1447;1437;1445;1437;1420;1442;1478;1463;1468;1520;1537;1532;1504
"Schrijversbuurt";3466;3502;3536;3554;3547;3549;3549;3556;3520;3564;3537;3540;3584;3590
"Schuttersbosch";632;626;616;594;584;552;550;558;553;567;577;590;618;625
"Sintenbuurt";1692;1713;1708;1700;1743;1772;1797;1811;1814;1787;1806;1805;1830;1817
"Sportpark Aalsterweg";17;18;18;17;17;16;15;15;13;17;17;15;15;15
"Strijp S";"x";"x";"x";"x";"x";186;631;689;718;830;1438;1667;1665;1793
"'t Hofke";3628;3573;3544;3548;3572;3531;3573;3558;3480;3468;3456;3473;3683;3734
"'t Hool";2083;2071;2038;2072;2081;2102;2099;2134;2112;2168;2204;2240;2256;2252
"Tempel";5003;5028;4974;5030;5007;4994;4992;5081;5074;5098;5068;5098;5079;5073
"Tivoli";1617;1618;1579;1584;1534;1522;1500;1503;1498;1526;1440;1432;1450;1536
"Tongelresche Akkers";76;243;379;491;734;791;826;1007;1027;1094;1116;1240;1453;1712
"Tuindorp";2880;2891;2980;2961;2992;2955;3000;3024;3007;2961;2957;2928;2952;2882
"TU-terrein";93;171;189;177;203;209;209;211;208;650;792;811;782;728
"Urkhoven";157;157;157;165;177;184;176;182;182;186;170;165;163;162
"Vaartbroek";5189;5208;5234;5198;5219;5200;5228;5243;5206;5186;5216;5225;5242;5179
"Villapark";1783;1919;1962;2006;2073;2069;2017;2049;2052;2071;2039;2077;2261;2442
"Vlokhoven";3530;3533;3526;3551;3537;3559;3585;3608;3573;3566;3534;3533;3538;3515
"Vredeoord";384;393;416;445;495;499;511;529;529;496;503;489;503;499
"Waterrijk";"x";"x";556;788;884;955;994;1002;1057;1121;1408;1694;2228;2499
"Wielewaal";29;28;65;67;66;69;85;90;100;103;99;94;97;116
"Winkelcentrum";640;660;655;662;665;660;651;667;643;641;675;657;659;676
"Witte Dame";760;888;1000;935;973;1028;1030;1089;1081;1698;1862;2030;2162;2229
"Woenselse Heide";5062;5056;5037;5049;5019;5079;5076;5151;5207;5145;5139;5170;5252;5229
"Woenselse Watermolen";1086;1087;1061;1118;1119;1124;1117;1140;1223;1285;1312;1349;1362;1363
"Woensel-West";4108;4096;4011;4143;4140;4094;4127;4132;4126;3976;3799;3782;3878;4375
"Zandrijk";2882;2904;2908;2965;2984;3039;3041;3022;2996;3009;2959;2972;2940;2917
"Zwaanstraat";24;22;30;26;28;27;198;232;282;429;537;599;902;1236
"Onbekend";"";"";"";"";"";"";"";"";"";"";"";17;13;"x"
