year,neighborhood,Aantal woningen,latitude,longitude,Inwoners,Gemiddeld elektriciteitsverbruik totaal,Verplaatst zich meestal per fiets %,Personenauto's totaal,Doet aan vrijwilligerswerk,Sport wekelijks (18-84 jaar),Bezoekt culturele voorstellingen %,Registraties overlast per 1.000 inwoners,Voelt zich wel eens onveilig in de eigen buurt %,Gemiddeld persoonlijk inkomen per inkomensontvanger (x1000 euro),Totaal aantal winkelpanden
2014,Centrum,3951,51.43863051112832,5.4812334297222405,6566.0,2400.0,37.0,3340.0,42.0,50.0,89.0,64.3,30.0,41.7,426.0
2015,Centrum,3996,51.43863051112832,5.4812334297222405,6785.0,2420.0,31.0,4285.0,35.0,51.0,86.0,63.1,28.0,40.9,399.0
2016,Centrum,4188,51.43863051112832,5.4812334297222405,6851.0,2420.0,28.0,4335.0,36.0,57.0,89.0,75.6,24.0,41.8,383.0
2017,Centrum,5380,51.43863051112832,5.4812334297222405,8132.0,2340.0,33.0,4475.0,35.0,55.0,86.0,74.3,22.0,40.8,368.0
2018,Centrum,5643,51.43863051112832,5.4812334297222405,8979.0,2050.0,30.0,3755.0,39.0,59.0,90.0,71.4,23.0,38.6,367.0
2019,Centrum,5877,51.43863051112832,5.4812334297222405,9443.0,0.0,37.0,3665.0,39.0,64.0,87.0,77.7,18.0,38.9,404.0
2020,Centrum,6267,51.43863051112832,5.4812334297222405,9591.0,0.0,37.0,3110.0,33.0,67.0,84.0,92.2,22.0,40.4,423.0
2021,Centrum,6368,51.43863051112832,5.4812334297222405,9890.0,2090.0,38.0,3170.0,38.0,69.0,71.0,74.1,19.0,42.1,410.0
2014,Stratum,15450,51.42062723618984,5.507462272720255,32741.0,2550.0,51.0,13385.0,45.0,54.0,85.0,3.5,22.0,32.6,153.0
2015,Stratum,15481,51.42062723618984,5.507462272720255,32965.0,2830.0,53.0,13395.0,45.0,56.0,85.0,4.9,20.0,33.4,157.0
2016,Stratum,15582,51.42062723618984,5.507462272720255,33231.0,2760.0,54.0,13430.0,47.0,55.0,84.0,5.0,21.0,34.0,145.0
2017,Stratum,15654,51.42062723618984,5.507462272720255,33380.0,2780.0,52.0,13825.0,44.0,58.0,81.0,5.3,18.0,35.2,144.0
2018,Stratum,16070,51.42062723618984,5.507462272720255,33711.0,2630.0,50.0,14105.0,43.0,55.0,82.0,5.7,18.0,35.6,148.0
2019,Stratum,16523,51.42062723618984,5.507462272720255,34485.0,0.0,51.0,14255.0,44.0,65.0,86.0,6.0,15.0,36.7,174.0
2020,Stratum,16591,51.42062723618984,5.507462272720255,34672.0,0.0,50.0,14300.0,41.0,67.0,80.0,9.6,14.0,38.1,170.0
2021,Stratum,16854,51.42062723618984,5.507462272720255,34664.0,7990.0,47.0,14360.0,42.0,70.0,67.0,12.2,14.0,122.0,170.0
2014,Tongelre,9494,51.44440481234024,5.521265473481282,21153.0,2550.0,43.0,8685.0,44.0,47.0,82.0,8.6,35.0,30.3,80.0
2015,Tongelre,9620,51.44440481234024,5.521265473481282,21465.0,2880.0,47.0,8880.0,45.0,51.0,78.0,8.8,30.0,30.4,80.0
2016,Tongelre,9655,51.44440481234024,5.521265473481282,21535.0,2770.0,49.0,8930.0,45.0,52.0,82.0,11.1,28.0,31.3,88.0
2017,Tongelre,9718,51.44440481234024,5.521265473481282,21591.0,3120.0,47.0,9055.0,45.0,58.0,79.0,7.6,31.0,33.4,85.0
2018,Tongelre,9734,51.44440481234024,5.521265473481282,21443.0,2700.0,42.0,9185.0,42.0,53.0,79.0,7.3,31.0,32.3,88.0
2019,Tongelre,9866,51.44440481234024,5.521265473481282,21551.0,0.0,42.0,9240.0,42.0,56.0,80.0,9.2,27.0,33.8,97.0
2020,Tongelre,10531,51.44440481234024,5.521265473481282,22213.0,0.0,42.0,9410.0,38.0,62.0,72.0,22.4,26.0,34.8,98.0
2021,Tongelre,10758,51.44440481234024,5.521265473481282,22610.0,7810.0,41.0,9640.0,43.0,64.0,61.0,17.8,19.0,110.6,96.0
2014,Woensel-Zuid,18607,51.45545212275582,5.4683267185110935,37491.0,2250.0,49.0,14155.0,43.0,48.0,76.0,12.0,38.0,26.0,165.0
